sorteo,fecha,ventas_totales,boletos_estimados,LOTO_n1,LOTO_n2,LOTO_n3,LOTO_n4,LOTO_n5,LOTO_n6,LOTO_comodin,LOTO_GANADORES,LOTO_MONTO,LOTO_POZO_ACUMULADO,LOTO_POZO_REAL,RECARGADO_n1,RECARGADO_n6,RECARGADO_6_ACIERTOS_GANADORES,RECARGADO_POZO_ACUMULADO,REVANCHA_n1,REVANCHA_n6,REVANCHA_GANADORES,REVANCHA_POZO_ACUMULADO,DESQUITE_n1,DESQUITE_n6,DESQUITE_GANADORES,DESQUITE_POZO_ACUMULADO,AHORA_SI_QUE_SI_n1,AHORA_SI_QUE_SI_n6,AHORA_SI_QUE_SI_GANADORES,AHORA_SI_QUE_SI_ACUMULADO,SUPER_DUPLA_2_ACIERTOS_COMODIN_MONTO,REVANCHA_n5,SUPER_QUINA_5_ACIERTOS_COMODIN_MONTO,RECARGADO_n4,JUBILAZO_2_n6,JUBILAZO_1_n2,JUBILAZO_1_pos4,TERNA_3_ACIERTOS_POZO_REAL,JUBILAZO_1_n6,DESQUITE_MONTO,DESQUITE_n3,DESQUITE_pos5,AHORA_SI_QUE_SI_pos4,AHORA_SI_QUE_SI_n4,DESQUITE_n5,REVANCHA_pos2,QUINA_5_ACIERTOS_MONTO,JUBILAZO_1_n1,DESQUITE_POZO_REAL,QUINA_5_ACIERTOS_GANADORES,REVANCHA_n4,SUPER_TERNA_3_ACIERTOS_COMODIN_GANADORES,RECARGADO_pos4,MULTIPLICAR_pos1,JUBILAZO_2_pos6,LOTO_pos2,REVANCHA_MONTO,REVANCHA_n2,RECARGADO_n3,DESQUITE_pos3,JUBILAZO_2_n2,AHORA_SI_QUE_SI_pos6,LOTO_pos5,DESQUITE_n2,RECARGADO_pos3,REVANCHA_POZO_REAL,mes,dia_semana,RECARGADO_pos5,JUBILAZO_1_pos6,MULTIPLICAR_n1,JUBILAZO_1_n5,AHORA_SI_QUE_SI_pos1,JUBILAZO_1_pos3,SUPER_QUINA_5_ACIERTOS_COMODIN_POZO_REAL,CUATERNA_4_ACIERTOS_GANADORES,TERNA_3_ACIERTOS_GANADORES,DESQUITE_pos1,AHORA_SI_QUE_SI_n5,JUBILAZO_2_n3,RECARGADO_6_ACIERTOS_POZO_REAL,RECARGADO_6_ACIERTOS_MONTO,RECARGADO_pos2,REVANCHA_pos4,JUBILAZO_2_pos5,DESQUITE_pos2,SUPER_TERNA_3_ACIERTOS_COMODIN_POZO_REAL,SUPER_CUATERNA_4_ACIERTOS_COMODIN_MONTO,JUBILAZO_1_pos2,RECARGADO_pos6,DESQUITE_n4,SUPER_TERNA_3_ACIERTOS_COMODIN_MONTO,LOTO_pos6,LOTO_pos3,SUPER_DUPLA_2_ACIERTOS_COMODIN_GANADORES,SUPER_CUATERNA_4_ACIERTOS_COMODIN_GANADORES,REVANCHA_pos5,JUBILAZO_2_pos1,anio,REVANCHA_pos1,TERNA_3_ACIERTOS_MONTO,JUBILAZO_2_n1,SUPER_DUPLA_2_ACIERTOS_COMODIN_POZO_REAL,AHORA_SI_QUE_SI_pos3,CUATERNA_4_ACIERTOS_POZO_REAL,RECARGADO_n5,dia,JUBILAZO_1_n3,AHORA_SI_QUE_SI_n2,SUPER_CUATERNA_4_ACIERTOS_COMODIN_POZO_REAL,JUBILAZO_2_n4,AHORA_SI_QUE_SI_n3,REVANCHA_n3,LOTO_pos1,AHORA_SI_QUE_SI_pos5,OTRO_n1,CUATERNA_4_ACIERTOS_MONTO,QUINA_5_ACIERTOS_POZO_REAL,JUBILAZO_2_pos4,JUBILAZO_1_pos5,JUBILAZO_2_pos3,JUBILAZO_2_pos2,LOTO_pos4,JUBILAZO_1_pos1,REVANCHA_pos6,JUBILAZO_1_n4,DESQUITE_pos6,OTRO_pos1,REVANCHA_pos3,JUBILAZO_2_n5,AHORA_SI_QUE_SI_pos2,RECARGADO_n2,DESQUITE_pos4,RECARGADO_pos1,SUPER_QUINA_5_ACIERTOS_COMODIN_GANADORES
3803,2016-01-03 21:00:00,0,0,7,14,16,19,24,35,5,0,0,0,0,,,0,,1,38,0,,2,41,0,,11,38,,,9919000,30,0,,,9,14,0,36,0,18,31,29,29,31,8,3145680,8,0,18,27,1278,,2,,14,0,8,,18,,38,24,17,,0,1,Sunday,,36,2,21,11,11,0,763,10517,2,37,,0,0,,27,,17,0,3145340,9,,28,3143880,35,16,9919,58,30,,2016,1,11042850,,0,25,0,,3,11,20,0,,25,9,7,37,,3143560,0,,21,,,19,8,38,14,41,,9,,20,,28,,0
3804,2016-01-05 21:00:00,0,0,3,8,11,20,23,24,25,1,1108193560,0,0,,,0,,1,34,0,,5,39,0,,3,32,,,8013000,32,10161240,,,10,27,0,36,0,14,19,21,21,19,5,2951100,5,0,18,21,1140,,4,,8,0,5,,14,,32,23,11,,0,1,Tuesday,,36,4,29,3,16,0,1062,12668,5,29,,0,0,,21,,11,0,2951100,10,,15,2952600,24,11,8013,54,32,,2016,1,13301400,,0,7,0,,5,16,5,0,,7,18,3,29,,2952360,0,,29,,,20,5,34,27,39,,18,,5,,15,,4
3805,2016-01-07 21:00:00,0,0,1,5,10,12,14,18,4,0,0,0,0,,,0,,11,35,0,,8,33,0,,7,41,,,9256000,32,0,,,4,14,0,27,0,26,31,20,20,31,19,2540160,1,0,28,31,1196,,6,,5,0,19,,26,,41,14,10,,0,1,Thursday,,27,6,25,7,7,0,935,10628,8,25,,0,0,,31,,10,0,2540160,4,,30,2535520,18,10,9256,72,32,,2016,11,11159400,,0,19,0,,7,7,13,0,,19,21,1,25,,2543200,0,,25,,,12,1,35,14,33,,21,,13,,30,,0
3806,2016-01-10 21:00:00,0,0,16,18,22,23,34,36,38,1,211614260,0,0,,,0,,5,34,0,,5,41,0,,9,40,,,4268000,31,9810250,,,24,32,0,40,0,22,38,22,22,38,6,3346000,21,0,8,30,467,,5,,18,0,6,,22,,40,34,15,,0,1,Sunday,,40,5,35,9,27,0,484,8677,5,32,,0,0,,30,,15,0,3346110,24,,25,3348390,36,22,4268,17,31,,2016,5,10499170,,0,18,0,,10,27,15,0,,18,25,16,32,,3494480,0,,35,,,23,21,34,32,41,,25,,15,,25,,1
3807,2016-01-12 21:00:00,0,0,1,19,22,35,36,37,5,0,0,0,0,,,0,,2,38,0,,5,31,0,,1,37,,,6205000,33,0,,,17,31,0,38,0,10,30,30,30,30,6,2421600,9,0,8,13,616,,4,,19,0,6,,10,,37,36,6,,0,1,Tuesday,,38,4,36,1,30,0,308,4906,5,34,,0,0,,13,,6,0,2421500,17,,20,2420880,37,22,6205,25,33,,2016,2,7604300,,0,29,0,,12,30,4,0,,29,7,1,34,,2420880,0,,36,,,35,9,38,31,31,,7,,4,,20,,0
3808,2016-01-14 21:00:00,0,0,2,8,18,24,32,38,28,0,0,0,0,,,0,,1,36,0,,2,27,0,,4,41,,,5915000,28,8050350,,,20,28,0,33,0,11,14,22,22,14,6,2408700,3,0,21,23,946,,2,,8,0,6,,11,,41,32,3,,0,1,Thursday,,33,2,29,4,25,0,583,7226,2,32,,0,0,,23,,3,0,2408650,20,,12,2412300,38,18,5915,67,28,,2016,1,7587300,,0,11,0,,14,25,6,0,,11,15,2,32,,2407790,0,,29,,,24,3,36,28,27,,15,,6,,12,,5
3809,2016-01-17 21:00:00,0,0,9,14,15,22,35,38,29,0,0,0,0,,,0,,26,38,0,,11,34,0,,1,27,,,7023000,35,0,,,11,20,0,39,0,22,31,22,22,31,29,3278720,7,0,4,32,756,,4,,14,0,29,,22,,27,35,19,,0,1,Sunday,,39,4,26,1,14,0,510,8193,11,25,,0,0,,32,,19,0,3278880,11,,24,3281040,38,15,7023,27,35,,2016,26,10323180,,0,21,0,,17,14,17,0,,21,31,9,25,,3279300,0,,26,,,22,7,38,20,34,,31,,17,,24,,0
3810,2016-01-19 21:00:00,0,0,15,19,20,30,31,41,14,0,0,0,0,,,0,,8,40,0,,4,37,0,,20,41,,,4615000,39,0,,,9,27,0,40,0,12,27,33,33,27,14,2482650,3,0,9,38,490,,2,,19,0,14,,12,,41,31,6,,0,1,Tuesday,,40,2,31,20,13,0,319,6113,4,38,,0,0,,38,,6,0,2482650,9,,15,2484300,41,20,4615,15,39,,2016,8,7824640,,0,31,0,,19,13,25,0,,31,34,15,38,,2481820,0,,31,,,30,3,40,27,37,,34,,25,,15,,0
3811,2016-01-21 21:00:00,0,0,2,24,34,35,37,39,20,0,0,0,0,,,0,,13,40,0,,5,37,0,,10,31,,,3758000,22,13890180,,,16,24,0,36,0,27,36,13,13,36,15,2572740,3,0,2,20,392,,7,,24,0,15,,27,,31,37,14,,0,1,Thursday,,36,7,25,10,21,0,281,4602,5,21,,0,0,,20,,14,0,2572790,16,,33,2571520,39,34,3758,11,22,,2016,13,8099520,,0,12,0,,21,21,11,0,,12,16,2,21,,2573960,0,,25,,,35,3,40,24,37,,16,,11,,33,,1
3812,2016-01-24 21:00:00,0,0,9,15,25,28,33,39,3,1,604346120,0,0,,,0,,4,37,0,,6,29,0,,1,38,,,12605000,27,5736600,,,5,23,0,38,0,16,19,18,18,19,7,3441920,2,0,16,26,1771,,4,,15,0,7,,16,,38,33,12,,0,1,Sunday,,38,4,36,1,13,0,715,9896,6,37,,0,0,,26,,12,0,3442230,5,,17,3435740,39,25,12605,99,27,,2016,4,10786640,,0,8,0,,24,13,2,0,,8,15,9,37,,3439150,0,,36,,,28,2,37,23,29,,15,,2,,17,,2
3813,2016-01-26 21:00:00,0,0,3,6,12,16,29,34,32,0,0,0,0,,,0,,3,32,0,,1,27,0,,13,41,,,4421000,25,0,,,6,20,0,39,0,5,9,21,21,9,9,2348280,4,0,18,21,631,,2,,6,0,9,,5,,41,29,3,,0,1,Tuesday,,39,2,26,13,17,0,649,8550,1,36,,0,0,,21,,3,0,2348360,6,,6,2347320,34,12,4421,28,25,,2016,3,8977500,,0,17,0,,26,17,14,0,,17,14,3,36,,2446730,0,,26,,,16,4,32,20,27,,14,,14,,6,,0
3814,2016-01-28 21:00:00,0,0,2,7,12,22,30,35,23,0,0,0,0,,,1,,7,40,0,,9,37,0,,13,31,,,6273000,24,7889560,,,12,17,0,38,0,19,29,18,18,29,10,2385390,6,0,22,18,873,,2,,7,0,10,,19,,31,30,12,,0,1,Thursday,,38,2,36,13,15,0,689,8949,9,29,,0,343842910,,18,,12,0,2385280,12,,26,2383290,35,12,6273,32,24,,2016,7,9396450,,0,16,0,,28,15,14,0,,16,11,2,29,,2383940,0,,36,,,22,6,40,17,37,,11,,14,,26,,2
3815,2016-01-31 21:00:00,0,0,1,13,25,33,35,37,20,0,0,0,0,,,0,,6,37,0,,9,40,0,,7,40,,,6243000,30,0,,,9,25,0,30,0,20,38,32,32,38,21,3287200,1,0,10,26,695,,2,,13,0,21,,20,,40,35,14,,0,1,Sunday,,30,2,29,7,20,0,603,9084,9,33,,0,0,,26,,14,0,3287250,9,,25,3287350,37,25,6243,27,30,,2016,6,10355760,,0,21,0,,31,20,13,0,,21,23,1,33,,3286350,0,,29,,,33,1,37,25,40,,23,,13,,25,,0
3816,2016-02-02 21:00:00,0,0,4,17,22,24,34,39,2,0,0,0,0,,,0,,1,40,0,,1,40,0,,9,40,,,6038000,39,9482190,,,17,27,0,35,0,19,39,27,27,39,24,2402180,1,0,11,34,696,,4,,17,0,24,,19,,40,34,5,,0,2,Tuesday,,35,4,28,9,18,0,394,6410,1,30,,0,0,,34,,5,0,2402240,17,,33,2401200,39,22,6038,32,39,,2016,1,7563800,,0,23,0,,2,18,15,0,,23,25,4,30,,2403400,0,,28,,,24,1,40,27,40,,25,,15,,33,,1
3817,2016-02-04 21:00:00,0,0,6,9,15,18,19,39,4,0,0,0,0,,,0,,9,32,0,,3,34,0,,15,41,,,8352000,29,0,,,10,16,0,32,0,26,33,25,25,33,19,2436640,4,0,16,28,1018,,3,,9,0,19,,26,,41,19,20,,0,2,Thursday,,32,3,23,15,11,0,663,8477,3,29,,0,0,,28,,20,0,2436480,10,,27,2433020,39,15,8352,36,29,,2016,9,8900850,,0,20,0,,4,11,17,0,,20,23,6,29,,2439840,0,,23,,,18,4,32,16,34,,23,,17,,27,,0
3818,2016-02-07 21:00:00,0,0,7,11,16,18,28,35,19,0,0,0,0,,,0,,1,41,0,,5,36,0,,7,41,,,8650000,32,0,,,11,20,0,41,0,16,30,19,19,30,17,3329560,5,0,26,29,1037,,2,,11,0,17,,16,,41,28,12,,0,2,Sunday,,41,2,32,7,17,0,1000,13575,5,27,,0,0,,29,,12,0,3329550,11,,28,3328770,35,16,8650,45,32,,2016,1,14253750,,0,16,0,,7,17,15,0,,16,18,7,27,,3330000,0,,32,,,18,5,41,20,36,,18,,15,,28,,0
3819,2016-02-09 21:00:00,0,0,9,13,24,25,38,40,1,0,0,0,0,,,1,,2,38,0,,17,37,0,,2,24,,,6156000,28,0,,,9,19,0,36,0,30,35,12,12,35,11,2507300,7,0,5,27,651,,3,,13,0,11,,30,,24,38,24,,0,2,Tuesday,,36,3,30,2,10,0,397,6032,17,23,,0,141321610,,27,,24,0,2507240,9,,31,2506350,40,24,6156,19,28,,2016,2,7901920,,0,10,0,,9,10,9,0,,10,23,9,23,,2509040,0,,30,,,25,7,38,19,37,,23,,9,,31,,0
3820,2016-02-11 21:00:00,0,0,5,15,27,29,32,40,25,1,762715900,0,0,,,0,,5,31,0,,4,40,0,,1,30,,,6320000,22,18005920,,,6,29,0,37,0,19,33,13,13,33,8,2530050,3,0,15,12,741,,2,,15,0,8,,19,,30,32,18,,0,2,Thursday,,37,2,35,1,20,0,496,7210,4,28,,0,0,,12,,18,0,2530170,6,,32,2526810,40,27,6320,27,22,,2016,5,7931000,,0,7,0,,11,20,6,0,,7,9,5,28,,2529600,0,,35,,,29,3,31,29,40,,9,,6,,32,,2
3821,2016-02-14 21:00:00,0,0,1,5,21,22,27,28,26,0,0,0,0,,,0,,9,36,0,,1,33,0,,6,40,,,7176000,34,0,,,5,9,0,37,0,12,18,17,17,18,16,3101040,1,0,18,25,855,,3,,5,0,16,,12,,40,27,11,,0,2,Sunday,,37,3,12,6,6,0,862,12889,1,28,,0,0,,25,,11,0,3101000,5,,14,3103650,28,21,7176,35,34,,2016,9,13533450,,0,11,0,,14,6,9,0,,11,19,1,28,,3172160,0,,12,,,22,1,36,9,33,,19,,9,,14,,0
3822,2016-02-16 21:00:00,0,0,1,6,14,19,22,40,2,1,192350490,0,0,,,0,,4,41,0,,6,38,0,,1,33,,,6416000,31,0,,,8,22,0,32,0,22,36,29,29,36,5,2305160,1,0,11,26,678,,3,,6,0,5,,22,,33,22,8,,0,2,Tuesday,,32,3,24,1,17,0,431,6315,6,31,,0,0,,26,,8,0,2305160,8,,31,2305200,40,14,6416,31,31,,2016,4,7262250,,0,5,0,,16,17,3,0,,5,25,1,31,,2305850,0,,24,,,19,1,41,22,38,,25,,3,,31,,0
3823,2016-02-18 21:00:00,0,0,4,9,20,23,28,35,17,0,0,0,0,,,0,,9,33,0,,7,35,0,,1,37,,,6748000,22,0,,,10,20,0,34,0,23,30,30,30,30,12,2227920,5,0,12,21,990,,2,,9,0,12,,23,,37,28,8,,0,2,Thursday,,34,2,21,1,19,0,583,7713,7,36,,0,0,,21,,8,0,2227680,10,,29,2227500,35,20,6748,56,22,,2016,9,8098650,,0,28,0,,18,19,8,0,,28,17,4,36,,2227060,0,,21,,,23,5,33,20,35,,17,,8,,29,,0
3824,2016-02-21 21:00:00,0,0,17,22,23,29,36,37,35,0,0,0,0,,,0,,13,37,0,,3,25,0,,4,37,,,4781000,25,0,,,22,25,0,38,0,14,20,32,32,20,17,4078240,6,0,8,21,517,,4,,22,0,17,,14,,37,36,11,,0,2,Sunday,,38,4,33,4,23,0,406,7363,3,36,,0,0,,21,,11,0,3058380,22,,18,3060640,37,23,4781,6,25,,2016,13,9645530,,0,13,0,,21,23,10,0,,13,18,17,36,,3057180,0,,33,,,29,6,37,25,25,,18,,10,,18,,0
3825,2016-02-23 21:00:00,0,0,1,4,27,36,38,39,18,0,0,0,0,,,0,,4,39,0,,4,32,0,,2,36,,,5486000,26,0,,,5,19,0,41,0,12,31,11,11,31,5,2278200,2,0,3,25,624,,2,,4,0,5,,12,,36,38,9,,0,2,Tuesday,,41,2,32,2,17,0,259,5132,4,16,,0,0,,25,,9,0,2278240,5,,25,2277600,39,27,5486,16,26,,2016,4,7184800,,0,10,0,,23,17,7,0,,10,18,1,16,,2279200,0,,32,,,36,2,39,19,32,,18,,7,,25,,0
3826,2016-02-25 21:00:00,0,0,8,13,16,30,32,40,1,0,0,0,0,,,0,,1,34,0,,6,38,0,,7,38,,,5119000,30,0,,,17,24,0,37,0,16,35,13,13,35,3,2302300,11,0,11,19,578,,3,,13,0,3,,16,,38,32,8,,0,2,Thursday,,37,3,35,7,22,0,354,5838,6,36,,0,0,,19,,8,0,2302200,17,,26,2300440,40,16,5119,20,30,,2016,1,7239120,,0,10,0,,25,22,8,0,,10,6,8,36,,2301000,0,,35,,,30,11,34,24,38,,6,,8,,26,,0
3827,2016-02-28 21:00:00,0,0,4,13,23,25,29,39,32,0,0,0,0,,,0,,2,38,0,,5,41,0,,2,41,,,5636000,37,0,,,2,29,0,38,0,8,29,32,32,29,9,3069220,1,0,11,16,651,,4,,13,0,9,,8,,41,29,6,,0,2,Sunday,,38,4,36,2,28,0,691,9963,5,33,,0,0,,16,,6,0,3069220,2,,10,3072720,39,23,5636,22,37,,2016,2,10461150,,0,12,0,,28,28,5,0,,12,13,4,33,,3296070,0,,36,,,25,1,38,29,41,,13,,5,,10,,0
3828,2016-03-01 21:00:00,0,0,1,5,14,16,28,35,21,0,0,0,0,,,0,,1,33,0,,6,41,0,,4,24,,,7870000,26,34856540,,,9,15,0,36,0,17,40,15,15,40,8,2571800,1,0,20,25,1396,,4,,5,0,8,,17,,24,28,15,,0,3,Tuesday,,36,4,29,4,10,0,698,8540,6,19,,0,0,,25,,15,0,2572440,9,,28,2568640,35,14,7870,194,26,,2016,1,8967000,,0,12,0,,1,10,10,0,,12,24,1,19,,2575620,0,,29,,,16,1,33,15,41,,24,,10,,28,,2
3829,2016-03-03 21:00:00,0,0,2,6,18,20,33,40,12,0,0,0,0,,,0,,9,35,0,,11,40,0,,3,33,,,7628000,27,0,,,6,25,0,39,0,33,39,22,22,39,12,2894840,5,0,13,26,935,,2,,6,0,12,,33,,33,33,17,,0,3,Thursday,,39,2,31,3,18,0,550,8545,11,26,,0,0,,26,,17,0,2894780,6,,36,2898500,40,18,7628,46,27,,2016,9,9057700,,0,14,0,,3,18,11,0,,14,23,2,26,,2893000,0,,31,,,20,5,35,25,40,,23,,11,,36,,0
3830,2016-03-06 21:00:00,0,0,6,14,16,17,22,34,18,0,0,0,0,,,0,,14,41,0,,8,39,0,,5,29,,,9460000,33,0,,,16,19,0,41,0,18,36,13,13,36,16,4050150,6,0,15,28,1090,,2,,14,0,16,,18,,29,22,15,,0,3,Sunday,,41,2,31,5,17,0,825,12168,8,22,,0,0,,28,,15,0,4050200,16,,32,4054800,34,16,9460,44,33,,2016,14,12776400,,0,12,0,,6,17,6,0,,12,25,6,22,,4050750,0,,31,,,17,6,41,19,39,,25,,6,,32,,0
3831,2016-03-08 21:00:00,0,0,20,31,35,38,40,41,5,0,0,0,0,,,0,,1,41,0,,1,40,0,,8,41,,,5994000,38,0,,,17,29,0,40,0,20,30,28,28,30,17,3516100,4,0,14,33,579,,3,,31,0,17,,20,,41,40,17,,0,3,Tuesday,,40,3,30,8,27,0,344,5704,1,33,,0,0,,33,,17,0,3516150,17,,25,3514530,41,35,5994,15,38,,2016,1,11065760,,0,20,0,,8,27,11,0,,20,29,20,33,,3515680,0,,30,,,38,4,41,29,40,,29,,11,,25,,0
3832,2016-03-10 21:00:00,0,0,1,5,18,33,34,35,29,0,0,0,0,,,1,,5,29,0,,2,40,0,,5,37,,,7477000,25,0,,,11,33,0,40,0,23,32,28,28,32,10,3606200,9,0,13,18,835,,3,,5,0,10,,23,,37,34,15,,0,3,Thursday,,40,3,38,5,16,0,655,10359,2,31,,0,384965160,,18,,15,0,3606120,11,,27,3607200,35,18,7477,28,25,,2016,5,11291310,,0,14,0,,10,16,12,0,,14,13,1,31,,3609050,0,,38,,,33,9,29,33,40,,13,,12,,27,,0
3833,2016-03-13 21:00:00,0,0,5,12,17,24,32,41,11,0,0,0,0,,,0,,3,37,0,,15,30,0,,1,41,,,11676000,35,31245970,,,20,30,0,37,0,24,28,37,37,28,4,4680380,1,0,31,9,1294,,4,,12,0,4,,24,,41,32,20,,0,3,Sunday,,37,4,36,1,26,0,929,13364,15,38,,0,0,,9,,20,0,4680440,20,,27,4684280,41,17,11676,68,35,,2016,3,14700400,,0,15,0,,13,26,3,0,,15,5,5,38,,4682160,0,,36,,,24,1,37,30,30,,5,,3,,27,,1
3834,2016-03-15 21:00:00,0,0,2,6,7,28,33,40,14,0,0,0,0,,,0,,5,40,0,,6,34,0,,4,38,,,10614000,30,6143060,,,12,23,0,28,0,23,32,17,17,32,7,3685800,9,0,12,24,1545,,2,,6,0,7,,23,,38,33,12,,0,3,Tuesday,,28,2,27,4,20,0,799,12260,6,31,,0,0,,24,,12,0,3685680,12,,25,3692550,40,7,10614,72,30,,2016,5,12873000,,0,14,0,,15,20,10,0,,14,16,2,31,,3683390,0,,27,,,28,9,40,23,34,,16,,10,,25,,1
3835,2016-03-17 21:00:00,0,0,5,17,28,30,33,41,3,0,0,0,0,,,0,,2,41,0,,6,41,0,,8,28,,,12529000,23,0,,,15,28,0,40,0,16,30,18,18,30,13,3847870,14,0,13,16,1526,,7,,17,0,13,,16,,28,33,12,,0,3,Thursday,,40,7,30,8,24,0,802,11131,6,21,,0,0,,16,,12,0,3847880,15,,18,3845520,41,28,12529,61,23,,2016,2,12132790,,0,12,0,,17,24,11,0,,12,14,5,21,,3849600,0,,30,,,30,14,41,28,41,,14,,11,,18,,0
3836,2016-03-20 21:00:00,0,0,2,15,18,25,29,36,17,0,0,0,0,,,0,,17,41,0,,8,40,0,,1,40,,,12787000,37,0,,,16,26,0,37,0,24,38,31,31,38,19,5263560,8,0,36,28,1580,,2,,15,0,19,,24,,40,29,23,,0,3,Sunday,,37,2,35,1,18,0,1506,18862,8,39,,0,0,,28,,23,0,5263230,16,,32,5261400,36,18,12787,71,37,,2016,17,19805100,,0,15,0,,20,18,2,0,,15,26,2,39,,5271000,0,,35,,,25,8,41,26,40,,26,,2,,32,,0
3837,2016-03-22 21:00:00,0,0,4,5,6,8,17,35,1,1,1868103670,0,0,,,0,,22,36,0,,6,35,0,,3,38,,,14969000,35,0,,,10,34,0,41,0,14,31,31,31,31,25,4735440,9,0,24,32,2481,,2,,5,0,25,,14,,38,17,7,,0,3,Tuesday,,41,2,37,3,21,0,1315,18355,6,35,,0,0,,32,,7,0,4735500,10,,19,4738710,35,6,14969,105,35,,2016,22,19272750,,0,24,0,,22,21,21,0,,24,31,4,35,,4734000,0,,37,,,8,9,36,34,35,,31,,21,,19,,0
3838,2016-03-24 21:00:00,0,0,2,4,14,17,30,40,33,0,0,0,0,,,0,,1,40,0,,2,39,0,,2,40,,,6564000,33,0,,,7,23,0,34,0,17,33,35,35,33,5,2979040,2,0,16,31,801,,4,,4,0,5,,17,,40,30,15,,0,3,Thursday,,34,4,25,2,12,0,660,9615,2,37,,0,0,,31,,15,0,2979060,7,,22,2979720,40,14,6564,42,33,,2016,1,10095750,,0,20,0,,24,12,8,0,,20,22,2,37,,2976600,0,,25,,,17,2,40,23,39,,22,,8,,22,,0
3839,2016-03-27 21:00:00,0,0,5,9,18,29,39,40,16,0,0,0,0,,,0,,4,38,0,,5,34,0,,3,39,,,6308000,27,0,,,11,23,0,40,0,11,18,32,32,18,14,3071220,1,0,6,19,714,,4,,9,0,14,,11,,39,39,9,,0,3,Sunday,,40,4,34,3,22,0,551,8745,5,35,,0,0,,19,,9,0,3071120,11,,16,3070200,40,18,6308,26,27,,2016,4,9619500,,0,23,0,,27,22,15,0,,23,15,5,35,,3069070,0,,34,,,29,1,38,23,34,,15,,15,,16,,0
3840,2016-03-29 21:00:00,0,0,4,5,14,30,33,38,26,0,0,0,0,,,0,,1,40,0,,21,37,0,,1,41,,,5866000,25,0,,,4,18,0,40,0,28,35,15,15,35,2,2657270,1,0,7,22,747,,7,,5,0,2,,28,,41,33,26,,0,3,Tuesday,,40,7,31,1,16,0,403,7288,21,29,,0,0,,22,,26,0,2657200,4,,32,2659320,38,14,5866,28,25,,2016,1,8381200,,0,5,0,,29,16,3,0,,5,18,4,29,,2655770,0,,31,,,30,1,40,18,37,,18,,3,,32,,0
3841,2016-03-31 21:00:00,0,0,5,12,13,29,31,37,28,0,0,0,0,,,0,,2,39,0,,4,41,0,,16,40,,,6394000,27,42228100,,,3,17,0,30,0,22,38,29,29,38,8,2782670,2,0,11,15,763,,2,,12,0,8,,22,,40,31,16,,0,3,Thursday,,30,2,21,16,9,0,491,8096,4,36,,0,0,,15,,16,0,2782560,3,,27,2784950,37,13,6394,33,27,,2016,2,8743680,,0,27,0,,31,9,17,0,,27,12,5,36,,2783970,0,,21,,,29,2,39,17,41,,12,,17,,27,,2
3842,2016-04-03 20:00:00,0,0,3,12,20,21,26,36,5,0,0,0,0,,,0,,4,34,0,,4,39,0,,1,40,,,14413000,33,7225530,,,8,20,0,39,0,26,35,9,9,35,21,4335230,4,0,19,29,1779,,2,,12,0,21,,26,,40,26,17,,0,4,Sunday,,39,2,22,1,13,0,1052,15113,4,25,,0,0,,29,,17,0,4335540,8,,33,4340760,36,20,14413,66,33,,2016,4,15868650,,0,8,0,,3,13,3,0,,8,28,3,25,,4334240,0,,22,,,21,4,34,20,39,,28,,3,,33,,1
3843,2016-04-05 20:00:00,0,0,1,3,11,15,21,35,16,0,0,0,0,,,1,,10,34,0,,6,39,0,,11,39,,,8444000,29,5579750,,,11,21,0,39,0,19,28,27,27,28,15,3347980,7,0,43,17,1129,,3,,3,0,15,,19,,39,21,18,,0,4,Tuesday,,39,3,22,11,12,0,1344,15852,6,35,,0,437937120,,17,,18,0,3347680,11,,24,3353130,35,11,8444,61,29,,2016,10,16644600,,0,23,0,,5,12,18,0,,23,16,1,35,,4058880,0,,22,,,15,7,34,21,39,,16,,18,,24,,1
3844,2016-04-07 20:00:00,0,0,1,2,3,24,32,36,18,0,0,0,0,,,1,,16,41,0,,3,39,0,,1,36,,,9008000,38,0,,,20,37,0,41,0,14,32,26,26,32,24,2975740,12,0,23,32,1254,,3,,2,0,24,,14,,36,32,7,,0,4,Thursday,,41,3,38,1,28,0,654,9496,3,27,,0,50000000,,32,,7,0,2975400,20,,30,2971980,36,3,9008,87,38,,2016,16,9970800,,0,22,0,,7,28,15,0,,22,30,1,27,,2975700,0,,38,,,24,12,41,37,39,,30,,15,,30,,0
3845,2016-04-10 20:00:00,0,0,17,27,29,30,37,39,33,0,0,0,0,,,0,,13,39,0,,4,41,0,,6,36,,,7961000,36,0,,,15,28,0,39,0,19,31,30,30,31,17,4305440,10,0,16,34,903,,2,,27,0,17,,19,,36,37,17,,0,4,Sunday,,39,2,37,6,17,0,623,10098,4,33,,0,0,,34,,17,0,4305420,15,,30,4307310,39,29,7961,34,36,,2016,13,13531320,,0,28,0,,10,17,12,0,,28,27,17,33,,4304930,0,,37,,,30,10,39,28,41,,27,,12,,30,,0
